mac;name
EB:69:03:00:00:00 ;Group address (multicast MAC address)
E1:3E:56:00:00:00 ;Group address (multicast MAC address)
E6:36:BB:00:00:00 ;Locally administered MAC address
FA:DF:88:00:00:00 ;Locally administered MAC address
EA:B9:71:00:00:00 ;Locally administered MAC address
72:FC:1F:00:00:00 ;Locally administered MAC address
53:90:BB:00:00:00 ;Group address (multicast MAC address)
52:38:A8:00:00:00 ;Locally administered MAC address
4F:60:38:00:00:00 ;Group address (multicast MAC address)
5D:CB:16:00:00:00 ;Group address (multicast MAC address)
56:4E:03:00:00:00 ;Locally administered MAC address
61:88:FE:00:00:00 ;Group address (multicast MAC address)
7F:A8:1A:00:00:00 ;Group address (multicast MAC address)
69:08:FF:00:00:00 ;Group address (multicast MAC address)
7F:D1:6B:00:00:00 ;Group address (multicast MAC address)
60:A0:28:00:00:00 ;
6C:91:76:00:00:00 ;
57:DB:17:00:00:00 ;Group address (multicast MAC address)
6D:87:0F:00:00:00 ;Group address (multicast MAC address)
70:09:33:00:00:00 ;
44:C4:9A:00:00:00 ;
0C:82:BA:00:00:00 ;
4E:90:78:00:00:00 ;Locally administered MAC address
44:7B:3B:00:00:00 ;
71:6A:0E:00:00:00 ;Group address (multicast MAC address)
59:C8:D8:00:00:00 ;Group address (multicast MAC address)
2E:2D:01:00:00:00 ;Locally administered MAC address
64:2D:6B:00:00:00 ;
6B:A4:B7:00:00:00 ;Group address (multicast MAC address)
16:16:49:00:00:00 ;Locally administered MAC address
55:98:B8:00:00:00 ;Group address (multicast MAC address)
72:9C:0F:00:00:00 ;Locally administered MAC address
54:66:CC:00:00:00 ;
5F:18:8E:00:00:00 ;Group address (multicast MAC address)
23:79:E6:00:00:00 ;Group address (multicast MAC address)
65:4A:05:00:00:00 ;Group address (multicast MAC address)
4C:6E:50:00:00:00 ;
5F:D1:59:00:00:00 ;Group address (multicast MAC address)
56:27:14:00:00:00 ;Locally administered MAC address
CD:8F:53:00:00:00 ;Group address (multicast MAC address)
F7:1F:EC:00:00:00 ;Group address (multicast MAC address)
E6:FC:B5:00:00:00 ;Locally administered MAC address
18:43:20:00:00:00 ;
7B:3B:32:00:00:00 ;Group address (multicast MAC address)
E4:1E:00:00:00:00 ;
ED:21:FE:00:00:00 ;Group address (multicast MAC address)
C7:00:05:00:00:00 ;Group address (multicast MAC address)
63:58:E3:00:00:00 ;Group address (multicast MAC address)
70:54:04:00:00:00 ;
2F:E7:3D:00:00:00 ;Group address (multicast MAC address)
73:37:F3:00:00:00 ;Group address (multicast MAC address)
CB:C3:14:00:00:00 ;Group address (multicast MAC address)
57:21:12:00:00:00 ;Group address (multicast MAC address)
E0:8F:95:00:00:00 ;
D8:03:26:00:00:00 ;
C6:41:84:00:00:00 ;Locally administered MAC address
D4:21:E1:00:00:00 ;
FB:AF:31:00:00:00 ;Group address (multicast MAC address)
DC:54:74:00:00:00 ;
CA:06:AA:00:00:00 ;Locally administered MAC address
50:F4:1C:00:00:00 ;
41:BE:53:00:00:00 ;Group address (multicast MAC address)
72:A3:DD:00:00:00 ;Locally administered MAC address
EB:C6:71:00:00:00 ;Group address (multicast MAC address)
DF:1C:94:00:00:00 ;Group address (multicast MAC address)
04:97:44:00:00:00 ;
C7:11:44:00:00:00 ;Group address (multicast MAC address)
